,Year,lon,Lat
831,2014-01-01,-3.85,57.2
832,2021-01-01,-4.33425,56.125639
833,2004-01-01,-5.74,57.26
834,2014-01-01,-2.43,57.11
837,2018-01-01,-5.46,56.3
840,2007-01-01,-2.45,57.12
842,1991-01-01,-3.927145,57.781474
843,2014-01-01,-2.72,57.17
844,2018-01-01,-3.55,56.75
846,2014-01-01,-3.69,57.15
848,1995-01-01,-4.45,57.32
849,1935-01-01,-5.558428,57.175284
850,2007-01-01,-2.45,57.12
852,1991-01-01,-3.927145,57.781474
853,2014-01-01,-2.72,57.17
854,2018-01-01,-3.55,56.75
856,2014-01-01,-3.69,57.15
858,1995-01-01,-4.45,57.32
859,1935-01-01,-5.558428,57.175284
862,1997-01-01,-3.94,56.72
863,2016-01-01,-5.12,56.22
864,2013-01-01,-2.71,57.18
866,2021-01-01,-3.652795,55.23799
867,1980-01-01,-5.342739,57.626178
868,2018-01-01,-4.323431,55.946095
869,2002-01-01,-5.22,58.24
872,2016-01-01,-4.57,55.04
873,1994-01-01,-4.26,57.55
874,1997-01-01,-5.28,58.16
875,1925-01-01,-5.426637,57.538532
878,2016-01-01,-2.42,57.03
879,2006-01-01,-4.18,57.64
881,2014-01-01,-3.85,57.2
882,2021-01-01,-4.33425,56.125639
883,2004-01-01,-5.74,57.26
884,2014-01-01,-2.43,57.11
887,2018-01-01,-5.46,56.3
890,2007-01-01,-2.45,57.12
892,1991-01-01,-3.927145,57.781474
893,2014-01-01,-2.72,57.17
894,2018-01-01,-3.55,56.75
896,2014-01-01,-3.69,57.15
898,1995-01-01,-4.45,57.32
899,1935-01-01,-5.558428,57.175284
900,2007-01-01,-2.45,57.12
902,1991-01-01,-3.927145,57.781474
903,2014-01-01,-2.72,57.17
904,2018-01-01,-3.55,56.75
906,2014-01-01,-3.69,57.15
908,1995-01-01,-4.45,57.32
909,1935-01-01,-5.558428,57.175284
910,2007-01-01,-2.45,57.12
912,1991-01-01,-3.927145,57.781474
913,2014-01-01,-2.72,57.17
914,2018-01-01,-3.55,56.75
916,2014-01-01,-3.69,57.15
918,1995-01-01,-4.45,57.32
919,1935-01-01,-5.558428,57.175284
921,2014-01-01,-3.85,57.2
922,2021-01-01,-4.33425,56.125639
923,2004-01-01,-5.74,57.26
924,2014-01-01,-2.43,57.11
927,2018-01-01,-5.46,56.3
931,2014-01-01,-3.85,57.2
932,2021-01-01,-4.33425,56.125639
933,2004-01-01,-5.74,57.26
934,2014-01-01,-2.43,57.11
937,2018-01-01,-5.46,56.3
940,2007-01-01,-2.45,57.12
942,1991-01-01,-3.927145,57.781474
943,2014-01-01,-2.72,57.17
944,2018-01-01,-3.55,56.75
946,2014-01-01,-3.69,57.15
948,1995-01-01,-4.45,57.32
949,1935-01-01,-5.558428,57.175284
950,2007-01-01,-2.45,57.12
952,1991-01-01,-3.927145,57.781474
953,2014-01-01,-2.72,57.17
954,2018-01-01,-3.55,56.75
956,2014-01-01,-3.69,57.15
958,1995-01-01,-4.45,57.32
959,1935-01-01,-5.558428,57.175284
960,2007-01-01,-2.45,57.12
962,1991-01-01,-3.927145,57.781474
963,2014-01-01,-2.72,57.17
964,2018-01-01,-3.55,56.75
966,2014-01-01,-3.69,57.15
968,1995-01-01,-4.45,57.32
969,1935-01-01,-5.558428,57.175284
971,2012-01-01,-2.68,57.61
974,2013-01-01,-3.18,56.88
975,2015-01-01,-3.79,57.25
976,2012-01-01,-2.52,57.03
979,2013-01-01,-3.32,56.99
980,2007-01-01,-2.45,57.12
